01.04.21-14:08:11,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:08:15,openstack1,10.159.205.6,12,94,0,0,7,0
01.04.21-14:08:22,openstack1,10.159.205.6,9,94,0,0,7,0
01.04.21-14:08:29,openstack1,10.159.205.6,3,94,0,0,7,0
01.04.21-14:08:36,openstack1,10.159.205.6,5,94,0,0,7,0
01.04.21-14:08:45,openstack1,10.159.205.6,34,94,0,0,7,0
01.04.21-14:08:54,openstack1,10.159.205.6,7,94,0,0,7,0
01.04.21-14:09:03,openstack1,10.159.205.6,74,94,1,25,13,6
01.04.21-14:09:12,openstack1,10.159.205.6,99,94,1,25,13,6
01.04.21-14:09:20,openstack1,10.159.205.6,53,94,1,25,13,6
01.04.21-14:09:28,openstack1,10.159.205.6,13,94,1,25,13,6
01.04.21-14:09:36,openstack1,10.159.205.6,7,95,1,25,13,6
01.04.21-14:09:45,openstack1,10.159.205.6,23,94,1,25,13,6
01.04.21-14:09:52,openstack1,10.159.205.6,10,94,1,25,13,6
01.04.21-14:10:00,openstack1,10.159.205.6,22,94,1,25,13,6
01.04.21-14:10:07,openstack1,10.159.205.6,21,94,1,25,13,6
01.04.21-14:10:15,openstack1,10.159.205.6,61,94,1,25,13,6
01.04.21-14:10:23,openstack1,10.159.205.6,3,94,1,25,13,6
01.04.21-14:10:30,openstack1,10.159.205.6,28,94,1,25,13,6
01.04.21-14:10:38,openstack1,10.159.205.6,5,94,1,25,13,6
01.04.21-14:10:46,openstack1,10.159.205.6,5,94,1,25,13,6
01.04.21-14:10:54,openstack1,10.159.205.6,100,94,1,25,13,6
01.04.21-14:11:01,openstack1,10.159.205.6,14,94,1,25,13,6
01.04.21-14:11:08,openstack1,10.159.205.6,16,94,1,25,13,6
01.04.21-14:11:15,openstack1,10.159.205.6,8,94,1,25,13,6
01.04.21-14:11:23,openstack1,10.159.205.6,6,94,1,25,13,6
01.04.21-14:11:31,openstack1,10.159.205.6,54,94,1,25,13,6
