31.03.21-12:46:09,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:46:12,openstack1,10.159.205.6,6,92,0,0,7,0
31.03.21-12:46:19,openstack1,10.159.205.6,7,92,0,0,7,0
31.03.21-12:46:27,openstack1,10.159.205.6,20,92,0,0,7,0
31.03.21-12:46:34,openstack1,10.159.205.6,5,92,0,0,7,0
31.03.21-12:46:41,openstack1,10.159.205.6,19,92,0,0,7,0
31.03.21-12:46:48,openstack1,10.159.205.6,18,92,0,0,7,0
31.03.21-12:46:58,openstack1,10.159.205.6,97,92,1,25,13,6
31.03.21-12:47:09,openstack1,10.159.205.6,100,92,1,25,13,6
31.03.21-12:47:17,openstack1,10.159.205.6,7,92,1,25,13,6
31.03.21-12:47:25,openstack1,10.159.205.6,9,92,1,25,13,6
31.03.21-12:47:34,openstack1,10.159.205.6,36,92,1,25,13,6
31.03.21-12:47:41,openstack1,10.159.205.6,6,92,1,25,13,6
31.03.21-12:47:51,openstack1,10.159.205.6,9,92,1,25,13,6
31.03.21-12:47:58,openstack1,10.159.205.6,8,92,1,25,13,6
31.03.21-12:48:06,openstack1,10.159.205.6,100,92,1,25,13,6
31.03.21-12:48:13,openstack1,10.159.205.6,34,92,1,25,13,6
31.03.21-12:48:20,openstack1,10.159.205.6,23,92,1,25,13,6
31.03.21-12:48:27,openstack1,10.159.205.6,56,92,1,25,13,6
31.03.21-12:48:37,openstack1,10.159.205.6,30,92,1,25,13,6
31.03.21-12:48:44,openstack1,10.159.205.6,4,92,1,25,13,6
31.03.21-12:48:52,openstack1,10.159.205.6,5,92,1,25,13,6
31.03.21-12:49:00,openstack1,10.159.205.6,98,92,1,25,13,6
31.03.21-12:49:08,openstack1,10.159.205.6,100,92,1,25,13,6
31.03.21-12:49:15,openstack1,10.159.205.6,10,92,1,25,13,6
31.03.21-12:49:23,openstack1,10.159.205.6,6,92,1,25,13,6
31.03.21-12:49:33,openstack1,10.159.205.6,6,92,1,25,13,6
31.03.21-12:49:40,openstack1,10.159.205.6,4,92,1,25,13,6
31.03.21-12:50:32,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:50:35,openstack1,10.159.205.6,43,92,0,0,7,0
31.03.21-12:50:40,openstack1,10.159.205.6,55,92,0,0,7,0
31.03.21-12:50:47,openstack1,10.159.205.6,14,92,0,0,7,0
31.03.21-12:50:55,openstack1,10.159.205.6,6,92,0,0,7,0
31.03.21-12:51:02,openstack1,10.159.205.6,41,92,0,0,7,0
31.03.21-12:51:13,openstack1,10.159.205.6,17,92,0,0,7,0
31.03.21-12:51:23,openstack1,10.159.205.6,98,92,1,25,13,11
31.03.21-12:51:34,openstack1,10.159.205.6,100,92,2,50,20,11
31.03.21-12:51:42,openstack1,10.159.205.6,89,92,2,50,20,11
31.03.21-12:51:50,openstack1,10.159.205.6,99,92,2,50,20,11
31.03.21-12:51:57,openstack1,10.159.205.6,8,92,2,50,20,11
31.03.21-12:52:04,openstack1,10.159.205.6,14,92,2,50,20,11
31.03.21-12:52:12,openstack1,10.159.205.6,22,92,2,50,20,11
31.03.21-12:52:22,openstack1,10.159.205.6,5,92,2,50,20,11
31.03.21-12:52:30,openstack1,10.159.205.6,27,92,2,50,20,11
31.03.21-12:52:39,openstack1,10.159.205.6,20,92,2,50,20,11
31.03.21-12:52:46,openstack1,10.159.205.6,41,92,2,50,20,11
31.03.21-12:52:53,openstack1,10.159.205.6,6,92,2,50,20,11
31.03.21-12:53:00,openstack1,10.159.205.6,30,92,2,50,20,11
31.03.21-12:53:08,openstack1,10.159.205.6,7,92,2,50,20,11
31.03.21-12:53:16,openstack1,10.159.205.6,67,92,2,50,20,11
31.03.21-12:53:23,openstack1,10.159.205.6,7,92,2,50,20,11
31.03.21-12:53:34,openstack1,10.159.205.6,60,92,2,50,20,11
31.03.21-12:53:42,openstack1,10.159.205.6,79,92,2,50,20,11
31.03.21-12:53:49,openstack1,10.159.205.6,82,92,2,50,20,11
31.03.21-12:53:56,openstack1,10.159.205.6,11,92,2,50,20,11
31.03.21-12:54:04,openstack1,10.159.205.6,4,92,2,50,20,11
31.03.21-12:54:11,openstack1,10.159.205.6,55,92,2,50,20,11
31.03.21-12:54:56,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:54:59,openstack1,10.159.205.6,26,92,0,0,7,0
31.03.21-12:55:06,openstack1,10.159.205.6,12,92,0,0,7,0
31.03.21-12:55:16,openstack1,10.159.205.6,19,92,0,0,7,0
31.03.21-12:55:23,openstack1,10.159.205.6,8,92,0,0,7,0
31.03.21-12:55:29,openstack1,10.159.205.6,22,92,0,0,7,0
31.03.21-12:55:38,openstack1,10.159.205.6,9,92,0,0,7,0
31.03.21-12:55:53,openstack1,10.159.205.6,99,92,1,25,13,6
31.03.21-12:56:01,openstack1,10.159.205.6,7,92,1,25,13,6
31.03.21-12:56:08,openstack1,10.159.205.6,28,92,1,25,13,6
