30.03.21-02:56:51,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
30.03.21-02:56:56,openstack1,10.159.205.6,100,91,0,0,7,0
30.03.21-02:57:03,openstack1,10.159.205.6,78,91,0,0,7,0
30.03.21-02:57:09,openstack1,10.159.205.6,98,91,0,0,7,0
30.03.21-02:57:13,openstack1,10.159.205.6,59,91,0,0,7,0
30.03.21-02:57:19,openstack1,10.159.205.6,60,91,0,0,7,0
30.03.21-02:57:24,openstack1,10.159.205.6,63,91,0,0,7,0
30.03.21-02:57:35,openstack1,10.159.205.6,83,91,0,0,7,0
30.03.21-02:57:46,openstack1,10.159.205.6,99,91,0,0,13,6
30.03.21-02:57:56,openstack1,10.159.205.6,99,91,1,25,13,6
30.03.21-02:58:06,openstack1,10.159.205.6,100,91,1,25,13,6
30.03.21-02:58:21,openstack1,10.159.205.6,100,91,1,25,13,6
30.03.21-02:58:28,openstack1,10.159.205.6,100,91,1,25,13,6
30.03.21-02:58:33,openstack1,10.159.205.6,58,91,1,25,13,6
30.03.21-02:58:38,openstack1,10.159.205.6,56,91,1,25,13,6
30.03.21-02:58:44,openstack1,10.159.205.6,74,92,1,25,13,6
30.03.21-02:58:54,openstack1,10.159.205.6,100,91,1,25,13,6
30.03.21-02:59:00,openstack1,10.159.205.6,93,91,1,25,13,6
30.03.21-02:59:05,openstack1,10.159.205.6,81,91,1,25,13,6
30.03.21-02:59:11,openstack1,10.159.205.6,57,91,1,25,13,6
30.03.21-02:59:16,openstack1,10.159.205.6,58,91,1,25,13,6
30.03.21-02:59:20,openstack1,10.159.205.6,99,91,1,25,13,6
